#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
CTSO	4	-	155924117	155953917	155924117,155928335,155929541,155937361,155939370,155942316,155943155,155953712,	155926070,155928428,155929705,155937483,155939538,155942456,155943264,155953917,
PDGFC	4	-	156760453	156971394	156760453,156767772,156772685,156810836,156850220,156970785,	156763206,156767990,156772893,156811017,156850416,156971394,
GLRB	4	+	157076056	157172090	157076056,157077995,157120555,157122329,157136468,157136803,157138808,157143806,157152717,157170431,	157076297,157078146,157120662,157122397,157136698,157136886,157138949,157143959,157153010,157172090,
GRIA2	4	+	157220717	157366075	157220717,157221666,157303551,157312678,157317657,157321437,157332818,157333248,157334009,157335670,157336376,157341263,157359895,157361537,157362798,157363434,	157221130,157221807,157303791,157312875,157317711,157321599,157332986,157333353,157334120,157335877,157336747,157341462,157360143,157361652,157363047,157366075,
FAM198B	4	-	158124473	158173050	158124473,158130785,158155610,158170465,158172867,	158127614,158131012,158155825,158171599,158173050,
TMEM144	4	+	158210248	158255411	158210248,158211452,158212607,158215190,158217320,158219309,158232900,158235437,158237524,158240298,158241508,158244295,158253443,	158210586,158211574,158212776,158215313,158217420,158219390,158232982,158235505,158237643,158240418,158241606,158244349,158255411,
RXFP1	4	+	158521725	158653372	158521725,158572697,158593400,158599325,158605067,158607971,158612129,158612290,158617130,158626819,158628637,158633404,158638007,158639259,158644908,158646790,158648498,158651756,	158522025,158572835,158593499,158599431,158605139,158608043,158612201,158612362,158617205,158626891,158628709,158633476,158638079,158639331,158645138,158647201,158648717,158653372,
C4orf46	4	-	158666678	158672046	158666678,158671615,	158669768,158672046,
ETFDH	4	+	158672124	158709623	158672124,158680466,158682194,158684591,158685100,158690347,158695496,158697558,158698986,158703422,158706188,158706628,158708363,	158672490,158680607,158682424,158684673,158685219,158690425,158695643,158697699,158699130,158703591,158706371,158706850,158709623,
PPID	4	-	158709133	158723396	158709133,158710627,158710761,158713118,158715296,158715561,158717011,158719179,158721342,158723203,	158709824,158710670,158710848,158713260,158715403,158715684,158717200,158719286,158721483,158723396,
FNIP2	4	+	158769137	158908049	158769137,158825915,158829078,158831860,158832066,158833527,158835404,158851320,158859056,158859577,158861341,158861606,158868101,158870312,158891445,158895749,158904465,	158769319,158826042,158829225,158831961,158832138,158833628,158835476,158851450,158859258,158859666,158861488,158861776,158869428,158870469,158891646,158895865,158908049,
C4orf45	4	-	158893133	159035181	158893133,158915169,158960285,158973078,159035032,	158893717,158915359,158960344,158973311,159035181,
RAPGEF2	4	+	159267736	159360169	159267736,159304341,159314590,159322346,159323458,159329857,159330333,159331430,159331629,159331925,159332450,159338310,159339113,159341563,159342978,159343280,159344035,159345105,159346788,159350136,159352684,159353486,159355852,159358113,	159268215,159304473,159314768,159322483,159323617,159330010,159330498,159331538,159331833,159332034,159332697,159338468,159339354,159341947,159343190,159343404,159344059,159345329,159346998,159350289,159352910,159354046,159356158,159360169,
FSTL5	4	-	161383896	162164035	161383896,161455003,161459211,161481019,161500015,161510397,161538165,161542531,161587454,161656327,161759410,161775877,161920403,162033624,162111270,162163614,	161386449,161455128,161459319,161481169,161500134,161510424,161538300,161542693,161587575,161656494,161759531,161776074,161920652,162033658,162111412,162164035,
NAF1	4	-	163128668	163166921	163128668,163133153,163137198,163140222,163145781,163148340,163164216,163166362,	163129348,163133256,163137250,163140383,163145864,163148434,163164391,163166921,
NPY1R	4	-	163323960	163332862	163323960,163325855,163332481,	163325758,163326705,163332862,
NPY5R	4	+	163343938	163351934	163343938,163345713,163347451,163350264,	163344000,163345753,163347522,163351934,
TKTL2	4	-	163471092	163473746	163471092,	163473746,
TMA16	4	+	163494460	163520539	163494460,163507032,163512821,163514073,163515312,163517433,163519333,	163494804,163507145,163512859,163514158,163515461,163517476,163520539,
MARCH1	4	-	163524297	163854178	163524297,163545595,163585748,163613313,163700812,163854020,	163529046,163545743,163585929,163613393,163700863,163854178,
APELA	4	+	164877003	164897523	164877003,164878919,164895415,	164877407,164879009,164897523,
TRIM61	4	-	164954445	164977668	164954445,164954975,164969477,164976687,164977530,	164954768,164955096,164970339,164976825,164977668,
FAM218A	4	+	164956947	164959122	164956947,	164959122,
TRIM60	4	+	165031952	165041744	165031952,165039200,165040068,	165032112,165039252,165041744,
TMEM192	4	-	165070607	165112919	165070607,165085585,165088467,165100627,165102949,165112746,	165079796,165085688,165088602,165100892,165103096,165112919,
KLHL2	4	+	165207617	165323153	165207617,165219933,165228806,165238777,165263196,165294358,165297608,165299506,165305607,165310552,165311463,165313237,165314025,165317825,165322031,	165207902,165220059,165228913,165238899,165263359,165294468,165297725,165299656,165305725,165310750,165311565,165313366,165314166,165317969,165323153,
MSMO1	4	+	165327622	165343160	165327622,165333339,165337788,165338651,165340220,165341750,	165327764,165333625,165337937,165338778,165340375,165343160,
CPE	4	+	165378941	165498320	165378941,165464389,165467687,165482241,165484421,165487437,165493170,165495558,165497511,	165379528,165464586,165467855,165482359,165484604,165487577,165493270,165495677,165498320,
TLL1	4	+	165873257	166103895	165873257,165989380,165992803,165994380,165995060,166003390,166007942,166014435,166025315,166039338,166042026,166043273,166055075,166057183,166060027,166065682,166074877,166077902,166091127,166099276,166100741,	165874073,165989491,165992884,165994533,165995178,166003569,166008048,166014560,166025431,166039441,166042143,166043419,166055271,166057309,166060188,166065863,166075003,166078030,166091341,166099527,166103895,
SPOCK3	4	-	166733386	167234549	166733386,166737466,166741996,166754507,166792169,166889129,166912619,167000348,167062491,167233984,167234449,	166735090,166737604,166742059,166754729,166792289,166889244,166912743,167000463,167062537,167234173,167234549,
ANXA10	4	+	168092514	168187690	168092514,168128083,168139485,168162527,168164197,168165246,168177739,168177889,168179216,168181682,168184558,168187365,	168092718,168128165,168139580,168162641,168164288,168165326,168177793,168177983,168179312,168181741,168184681,168187690,
DDX60	4	-	168216292	168318807	168216292,168220654,168221729,168224242,168225528,168236251,168237285,168237690,168246417,168248187,168250953,168252508,168255710,168260864,168261999,168262682,168267581,168267840,168268853,168272042,168273278,168273933,168275344,168276014,168280334,168283445,168284819,168285392,168287047,168288173,168291747,168293786,168302299,168306378,168308005,168310997,168311255,168318621,	168217032,168220717,168221881,168224385,168225676,168236373,168237427,168237795,168246618,168248292,168251106,168252656,168255869,168260989,168262128,168262787,168267691,168267983,168268969,168272138,168273398,168274083,168275503,168276181,168280590,168283606,168284935,168285498,168287203,168288315,168291906,168293945,168302416,168306720,168308195,168311067,168311365,168318807,
DDX60L	4	-	168356734	168480487	168356734,168361148,168371611,168373665,168375376,168378353,168379362,168379725,168384611,168391539,168394464,168395958,168400825,168403981,168405949,168406601,168415407,168415656,168416681,168419301,168420260,168421759,168422523,168423607,168427069,168430477,168432454,168433009,168441336,168448637,168453123,168456038,168457891,168461698,168471746,168472454,168472695,168480376,	168358276,168361211,168371763,168373808,168375524,168378475,168379504,168379830,168384812,168391644,168394617,168396124,168400978,168404106,168406078,168406706,168415517,168415799,168416797,168419397,168420380,168421909,168422670,168423774,168427322,168430638,168432570,168433115,168441492,168448779,168453282,168456152,168458008,168462040,168471936,168472524,168472809,168480487,
PALLD	4	+	168497065	168928457	168497065,168511422,168668189,168681331,168682997,168685484,168690602,168691268,168709027,168711580,168890921,168894578,168898492,168903756,168913926,168915894,168921533,168924254,168924944,168925232,168926212,	168497194,168512412,168668368,168681398,168683103,168685559,168690744,168691292,168709147,168711923,168891057,168894677,168898714,168903906,168914021,168916027,168921741,168924420,168925078,168925278,168928457,
CBR4	4	-	168987589	169010258	168987589,169002070,169006754,169007635,169009947,	168990328,169002205,169006891,169007756,169010258,
SH3RF1	4	-	169094255	169271105	169094255,169106846,169116268,169117522,169120818,169122099,169130045,169136317,169155479,169156403,169268819,169270858,	169096687,169107205,169116630,169117782,169120989,169122266,169130156,169136620,169155575,169156679,169269307,169271105,
NEK1	4	-	169393274	169612612	169393274,169400224,169400520,169401651,169406595,169424552,169426145,169433544,169438082,169463242,169477123,169477431,169479402,169507036,169507714,169508247,169537808,169555719,169555931,169561479,169561686,169561831,169562136,169576927,169580841,169585348,169587558,169588648,169589446,169590725,169599099,169602007,169602513,169612019,	169394523,169400357,169400651,169401860,169406747,169424800,169426234,169433665,169438259,169463395,169477352,169477497,169479534,169507132,169507792,169508331,169537911,169555851,169556095,169561554,169561737,169561891,169562196,169577079,169580902,169585549,169587613,169588735,169589514,169590809,169599197,169602104,169602678,169612612,
CLCN3	4	+	169620525	169720545	169620525,169635912,169680049,169687657,169689042,169690529,169692113,169695611,169697188,169703997,169706867,169713078,169717791,169719906,	169621063,169636088,169680207,169687757,169689230,169690652,169692320,169695692,169697734,169704184,169707266,169713295,169717867,169720545,
C4orf27	4	-	169729464	169757953	169729464,169731703,169737659,169741956,169748743,169750535,169753675,169757829,	169729709,169731876,169737747,169742107,169748842,169750725,169753835,169757953,
MFAP3L	4	-	169986597	170026408	169986597,170005579,170026233,	169992309,170006010,170026408,
AADAT	4	-	170060221	170089967	170060221,170061891,170064718,170066413,170067326,170068590,170069147,170070586,170073135,170078508,170087115,170088395,170089623,	170060969,170061993,170064825,170066478,170067388,170068687,170069230,170070652,170073345,170078583,170087248,170088564,170089967,
GALNTL6	4	+	171813502	173041559	171813502,171814411,172229655,172311613,172348522,172809360,172813539,172882789,172931160,172952036,173009177,173021475,173039932,	171813990,171814718,172229764,172311752,172348689,172809546,172813723,172882907,172931268,172952258,173009294,173021625,173041559,
GALNT7	4	+	173168752	173323967	173168752,173247979,173292107,173295395,173295763,173298114,173302046,173303995,173313957,173317633,173318430,173321579,	173168961,173248440,173292274,173295526,173295843,173298297,173302164,173304118,173314176,173317732,173318559,173323967,
HMGB2	4	-	173331694	173335125	173331694,173332820,173333068,173333499,173334271,	173332238,173332995,173333214,173333669,173335125,
SAP30	4	+	173370942	173377532	173370942,173373389,173373938,173377204,	173371497,173373515,173374037,173377532,
SCRG1	4	-	173384700	173399536	173384700,173391172,173399067,	173388395,173391428,173399536,
HAND2	4	-	173526090	173530229	173526090,173528734,	173527375,173530229,
FBXO8	4	-	174236657	174284264	174236657,174238993,174241099,174259698,174262763,174283409,	174237599,174239190,174241218,174259825,174263100,174284264,
CEP44	4	+	174283676	174320330	174283676,174297965,174299071,174302038,174303702,174304246,174308688,174309849,174310782,174316165,174316529,174317334,	174283943,174298062,174299210,174302186,174303849,174304369,174308859,174310056,174310858,174316290,174316567,174320330,
HPGD	4	-	174490176	174522898	174490176,174493150,174495547,174508695,174517970,174521943,174522358,	174492094,174493314,174495624,174508792,174518077,174522067,174522898,
GLRA3	4	-	174636913	174829314	174636913,174656742,174659053,174677077,174682801,174715487,174728474,174766962,174788815,174828740,	174644064,174656787,174659197,174677292,174682939,174715570,174728698,174767030,174788943,174829314,
ADAM29	4	+	174918357	174978180	174918357,174920686,174930985,174936932,174975345,	174918471,174920792,174931174,174937013,174978180,
GPM6A	4	-	175632933	176002332	175632933,175640128,175640752,175651833,175673679,175701574,175812190,176002308,	175635057,175640194,175640829,175651987,175673836,175701767,175812249,176002332,
WDR17	4	+	176065980	176180159	176065980,176096462,176111574,176115795,176119866,176125103,176128737,176131553,176135107,176137519,176139891,176141982,176145994,176148132,176149806,176150042,176150467,176151811,176156078,176159993,176160910,176162074,176163153,176166123,176168647,176172374,176173266,176174616,176177057,176177470,176179459,	176066079,176096585,176111703,176115979,176120097,176125355,176128860,176131738,176135276,176137611,176139974,176142069,176146159,176148335,176149956,176150173,176150593,176151967,176156143,176160126,176161002,176162174,176163293,176166144,176168783,176172516,176173369,176174718,176177156,176177654,176180159,
SPATA4	4	-	176184637	176195671	176184637,176188118,176192626,176192957,176193452,176195344,	176184892,176188235,176192847,176193076,176193582,176195671,
ASB5	4	-	176213672	176269222	176213672,176216817,176221154,176221449,176222312,176225261,176268912,	176215727,176217009,176221289,176221600,176222420,176225341,176269222,
SPCS3	4	+	176319963	176332245	176319963,176322169,176324180,176327161,176328197,	176320219,176322243,176324257,176327277,176332245,
NEIL3	4	+	177309835	177362943	177309835,177322458,177335687,177336107,177339782,177341475,177351379,177353307,177360502,177362288,	177310109,177322580,177335822,177336321,177339857,177341642,177351549,177353728,177360677,177362943,
AGA	4	-	177430769	177442503	177430769,177433213,177434381,177436275,177437404,177438744,177439575,177440272,177442248,	177431808,177433347,177434489,177436351,177437519,177438857,177439688,177440426,177442503,
TENM3	4	+	182243428	182803024	182243428,182323945,182346650,182600923,182628650,182653770,182673004,182679665,182680247,182680542,182681813,182688165,182714086,182728964,182730199,182730877,182736807,182738400,182743169,182751799,182753449,182754384,182773471,182774917,182789092,182792273,182796636,182799595,	182243476,182324252,182346929,182601161,182628889,182653893,182673219,182679876,182680349,182680737,182682014,182688351,182714233,182729181,182730319,182731139,182737075,182738544,182743419,182752032,182753604,182755259,182773647,182775153,182789389,182793885,182796767,182803024,
DCTD	4	-	182890254	182917594	182890254,182893030,182894488,182914922,182915460,182917310,	182891477,182893127,182894605,182915058,182915575,182917594,
WWC2	4	+	183099292	183320777	183099292,183193598,183207952,183208948,183240182,183245415,183248713,183249919,183253756,183259638,183260909,183264977,183265687,183265864,183268970,183271079,183280775,183282707,183284225,183285966,183289392,183312340,183315662,	183099622,183193708,183208156,183209025,183240262,183245545,183248860,183249993,183253999,183259728,183261532,183265107,183265768,183265951,183269163,183271241,183280897,183282906,183284390,183286059,183289635,183312468,183320777,
CLDN22	4	-	183318193	183320774	183318193,	183320774,
CLDN24	4	-	183321763	183322426	183321763,	183322426,
CDKN2AIP	4	+	183444590	183448198	183444590,183445534,183446087,	183445069,183445665,183448198,
ING2	4	+	183504993	183511096	183504993,183510281,	183505367,183511096,
RWDD4	4	-	183639634	183659225	183639634,183646350,183646487,183649450,183650983,183651217,183655880,183658928,	183641468,183646353,183646537,183649568,183651131,183651327,183655961,183659225,
TRAPPC11	4	+	183659266	183713592	183659266,183663846,183666256,183667059,183668002,183674712,183675163,183677457,183679352,183680119,183682731,183683974,183684144,183684304,183684695,183685083,183685270,183686617,183691315,183692959,183693588,183693916,183694603,183697502,183697678,183701696,183704978,183706806,183708406,183712599,	183659447,183664071,183666426,183667130,183668117,183674812,183675237,183677554,183679486,183680267,183682825,183684054,183684223,183684359,183684841,183685145,183685403,183686748,183691471,183693147,183693737,183694038,183694723,183697568,183697835,183701808,183705070,183706940,183708574,183713592,
STOX2	4	+	183905355	184023526	183905355,184001324,184009157,184017088,	183906956,184001477,184011423,184023526,
ENPP6	4	-	184088705	184217961	184088705,184097244,184112671,184116855,184117758,184124160,184153553,184217578,	184091382,184097368,184112809,184117035,184117900,184124272,184153733,184217961,
IRF2	4	-	184387712	184474580	184387712,184390702,184398914,184408157,184418166,184418531,184419468,184428977,184474378,	184389066,184390749,184399079,184408275,184418213,184418708,184419568,184429070,184474580,
CASP3	4	-	184627695	184649475	184627695,184631036,184631764,184632267,184635293,184638400,184648464,184649394,	184629501,184631157,184631940,184632396,184635418,184638468,184648631,184649475,
PRIMPOL	4	+	184649612	184694952	184649612,184652022,184657081,184659339,184661773,184665916,184672172,184678231,184682247,184685408,184685575,184691498,184691665,184694521,	184649908,184652100,184657320,184659437,184661903,184666064,184672460,184678394,184682336,184685498,184685684,184691581,184691712,184694952,
CENPU	4	-	184694617	184734133	184694617,184697646,184700819,184702088,184702362,184710071,184712943,184716396,184717135,184724956,184728917,184730919,184734015,	184695401,184697803,184700881,184702136,184702441,184710180,184713013,184716633,184717196,184725062,184729035,184730968,184734133,
ACSL1	4	-	184755599	184826818	184755599,184757634,184757818,184760356,184762406,184763166,184764852,184765890,184766621,184768315,184770398,184773080,184773662,184773842,184776483,184776883,184780331,184783926,184788616,184803319,184826524,	184757265,184757706,184757920,184760500,184762523,184763255,184764925,184765986,184766756,184768450,184770476,184773154,184773714,184773875,184776662,184776983,184780433,184783991,184788731,184803546,184826818,
HELT	4	+	185018840	185020796	185018840,185019386,185019746,185020272,	185018955,185019491,185019843,185020796,
SLC25A4	4	+	185143240	185150382	185143240,185144763,185145758,185146813,	185143483,185145250,185145899,185150382,
CFAP97	4	-	185159664	185204001	185159664,185164028,185175785,185190142,185203897,	185162925,185164179,185176051,185191212,185204001,
SNX25	4	+	185204236	185363971	185204236,185247293,185258847,185264437,185266968,185288011,185310634,185320732,185323527,185332594,185339378,185341975,185346536,185351444,185353484,185357670,185361923,185362610,185363384,	185204467,185247378,185259064,185264610,185267155,185288082,185310816,185320864,185323800,185332759,185339510,185342116,185346650,185351609,185353602,185357737,185362105,185362711,185363971,
LRP2BP	4	-	185363878	185378998	185363878,185370639,185372855,185374134,185374318,185375612,185376908,185378080,	185367245,185370814,185373079,185374240,185374461,185375726,185377018,185378998,
ANKRD37	4	+	185396483	185400241	185396483,185397149,185398936,185399569,185400016,	185396950,185397302,185399028,185399773,185400241,
UFSP2	4	-	185400288	185425985	185400288,185403493,185405779,185407935,185408270,185413725,185415154,185415709,185418440,185418586,185422484,185425865,	185400478,185403618,185405856,185408060,185408435,185413872,185415347,185415867,185418507,185418770,185422563,185425985,
C4orf47	4	+	185429389	185449826	185429389,185431981,185436045,185436283,185440539,185444963,185449595,	185429511,185432201,185436183,185436359,185440719,185445130,185449826,
CCDC110	4	-	185445181	185471759	185445181,185458125,185461048,185462642,185462993,185470944,185471673,	185445542,185460238,185461159,185462708,185463049,185471049,185471759,
PDLIM3	4	-	185501696	185535508	185501696,185504474,185506521,185508298,185514269,185523361,185525019,185535341,	185502483,185504586,185506652,185508562,185514337,185523446,185525171,185535508,
SORBS2	4	-	185587304	185811071	185587304,185589678,185593885,185611779,185614830,185615044,185618584,185620062,185626831,185630548,185635354,185638876,185646667,185649466,185651783,185652661,185657423,185662103,185678422,185678795,185684753,185775226,185810937,	185587688,185589785,185593935,185611980,185614959,185615159,185618631,185620151,185627019,185630598,185635411,185639035,185646782,185649656,185651828,185652728,185657596,185662242,185678547,185678822,185684846,185775366,185811071,
TLR3	4	+	186069151	186088069	186069151,186076612,186078839,186082319,186084644,	186069248,186077060,186079031,186084172,186088069,
FAM149A	4	+	186104418	186172140	186104418,186149172,186149565,186151902,186153644,186154467,186155999,186157564,186162844,186163423,186165343,186166967,186167180,186171913,	186104520,186149283,186149704,186152045,186153770,186154638,186156190,186157719,186162948,186163633,186165464,186167096,186167262,186172140,
CYP4V2	4	+	186191519	186210801	186191519,186194499,186196002,186196939,186197532,186198956,186201156,186205199,186208864,186209092,186210468,	186192037,186194612,186196088,186197130,186197602,186199083,186201342,186205302,186208999,186209272,186210801,
KLKB1	4	+	186227401	186258471	186227401,186228194,186232126,186233951,186236780,186238255,186250242,186251218,186251486,186251748,186252016,186254587,186255991,186257225,186258020,	186227587,186228253,186232289,186234058,186236940,186238365,186250402,186251328,186251649,186251861,186252185,186254763,186256087,186257365,186258471,
F11	4	+	186265944	186288780	186265944,186267135,186271608,186273070,186274115,186275786,186276230,186280011,186280222,186280473,186284091,186285637,186286414,186287683,186288452,	186266295,186267191,186271771,186273177,186274275,186275896,186276390,186280121,186280385,186280580,186284260,186285813,186286510,186287823,186288780,
RP11-215A19.2	4	-	186426545	186555328	186426545,186555181,	186427098,186555328,
MTNR1A	4	-	186533654	186555567	186533654,186555181,	186534557,186555567,
FAT1	4	-	186587782	186723855	186587782,186595688,186596539,186597681,186597971,186599897,186601268,186602902,186603175,186604376,186606069,186609182,186609800,186611385,186613108,186614190,186617004,186617707,186628153,186628487,186633683,186636024,186636584,186639721,186663298,186706562,186723663,	186589220,186595826,186597171,186597792,186598125,186600360,186601426,186603034,186603977,186604574,186606213,186609320,186610015,186611775,186613342,186614344,186617201,186621775,186628364,186628763,186633823,186636235,186636914,186639783,186663613,186709845,186723855,
ZFP42	4	+	187995770	188005045	187995770,187999608,188002712,	187995840,187999685,188005045,
TRIML2	4	-	188091272	188105593	188091272,188097060,188097323,188099034,188101055,188104836,188105179,	188091941,188097161,188097346,188099175,188101250,188104932,188105593,
TRIML1	4	+	188139418	188147622	188139418,188140527,188142251,188143837,188144035,188146821,	188139966,188140623,188142482,188143860,188144133,188147622,
FRG1	4	+	189940787	189963204	189940787,189943201,189952161,189953067,189955036,189957397,189960747,189961821,189963092,	189941071,189943272,189952287,189953125,189955151,189957502,189960839,189961932,189963204,
FRG2	4	-	190024366	190027257	190024366,190026383,190026690,190027026,	190026066,190026461,190026765,190027257,
PLEKHG4B	5	+	140257	189970	140257,143046,143379,144826,151512,154874,155344,156070,156772,161782,162721,169339,171042,171213,172896,173917,181513,182003,	140716,143256,143503,144920,151599,154991,155443,156210,156911,161944,163548,169592,171132,171444,173067,174098,181675,189970,
LRRC14B	5	+	191510	195353	191510,194707,	192437,195353,
CCDC127	5	-	196870	218215	196870,216728,218092,	205958,216859,218215,
SDHA	5	+	218240	256700	218240,223481,224359,225418,225882,228184,230875,233476,235143,236427,240357,250991,251337,254392,256333,	218418,223568,224521,225562,226047,228333,231000,233645,235339,236599,240476,251103,251468,254506,256700,
PDCD6	5	+	271620	314974	271620,272710,304176,306601,311292,314416,	271821,272772,304221,306760,311402,314974,
AHRR	5	+	304175	438291	304175,343892,353729,376609,413343,422728,423840,427636,427806,432462,432805,433852,	304221,343964,353911,376716,413433,422858,423977,427690,428006,432524,432947,438291,
EXOC3	5	+	443157	467296	443157,446149,447532,453369,456888,457899,459358,461959,462156,464289,465110,465717,466726,	443290,446349,447752,454051,457006,458025,459459,462070,462307,464412,465272,465845,467296,
SLC9A3	5	-	473309	524332	473309,474882,475560,476019,476201,476542,477331,479835,481564,482067,482547,483261,484519,485152,488315,491768,524111,	473382,475132,475671,476092,476378,476672,477444,479965,481635,482157,482750,483482,484697,485231,488476,492071,524332,
CEP72	5	+	612271	653553	612271,618989,620068,624470,633768,635371,637516,639088,640407,644298,647804,652987,	612443,619117,620261,624579,633947,635584,637818,639224,640604,644425,647916,653553,
TPPP	5	-	659861	693395	659861,665969,677749,693277,	665296,666123,678064,693395,
ZDHHC11B	5	-	711807	766952	711807,716800,730433,733751,741593,745182,748403,751132,754997,755965,766697,	712282,716865,730468,733839,741628,745298,748559,751257,755099,756144,766952,
ZDHHC11	5	-	795606	850986	795606,801099,814760,819524,821860,825163,833772,837364,840494,843599,847513,848481,850380,	796580,801164,814795,819612,821895,825251,833807,837480,840650,843724,847615,848660,850986,
BRD9	5	-	864272	892824	864272,865413,870472,871525,876100,878354,879793,881106,883937,886591,887360,889020,889586,891154,891639,892605,	864568,865581,870575,871564,876212,878487,879889,881182,884070,886707,887471,889165,889647,891287,891854,892824,
TRIP13	5	+	892642	918120	892642,894786,896664,900493,901340,904147,907129,907987,908354,911842,914464,915903,917007,	893090,894952,896794,900549,901431,904220,907193,908074,908461,911996,914577,915973,918120,
NKD2	5	+	1008828	1038943	1008828,1009178,1009480,1032151,1033371,1034234,1034755,1035388,1036256,1037804,	1009082,1009214,1009560,1032212,1033499,1034330,1034903,1035473,1036384,1038943,
SLC12A7	5	-	1050375	1112035	1050375,1053348,1057470,1060343,1063843,1064082,1065282,1073632,1074566,1075370,1076137,1076693,1077832,1078700,1079397,1081576,1083744,1085231,1086902,1088305,1088981,1093532,1094153,1111867,	1052451,1053482,1057649,1060451,1063975,1064252,1065478,1073801,1074671,1075490,1076236,1076812,1078007,1078758,1079496,1081744,1083956,1085473,1087033,1088360,1089128,1093655,1094248,1112035,
SLC6A19	5	+	1201594	1225117	1201594,1208745,1210443,1212302,1213462,1213952,1216557,1216788,1218902,1219504,1221150,1221700,	1201852,1208886,1210581,1212484,1213573,1214065,1216686,1216945,1219107,1219664,1221313,1225117,
SLC6A18	5	+	1225354	1246189	1225354,1232218,1232750,1235480,1237949,1239449,1240530,1242706,1243554,1244213,1244607,1245847,	1225637,1232359,1232888,1235662,1238060,1239562,1240659,1242863,1243759,1244373,1244767,1246189,
TERT	5	-	1253166	1295047	1253166,1254367,1255286,1258597,1260473,1264403,1266463,1268519,1271118,1272184,1278640,1279290,1280157,1282428,1293312,1294770,	1253831,1254505,1255411,1258659,1260600,1264592,1266535,1268633,1271204,1272280,1278796,1279470,1280338,1282624,1294666,1295047,
CLPTM1L	5	-	1317743	1345099	1317743,1320615,1321634,1321763,1322876,1323786,1324762,1325750,1330279,1331798,1334288,1335056,1337903,1338859,1341670,1344350,1344679,	1318453,1320731,1321679,1321819,1322911,1323869,1324813,1325816,1330383,1331883,1334383,1335174,1337982,1339005,1341860,1344451,1345099,
SLC6A3	5	-	1392789	1445430	1392789,1400914,1402921,1406187,1409025,1409720,1411242,1414690,1416097,1420568,1421875,1432463,1441358,1442911,1445347,	1394758,1400986,1403089,1406288,1409125,1409849,1411355,1414815,1416201,1420703,1422014,1432698,1441490,1443242,1445430,
LPCAT1	5	-	1461422	1523977	1461422,1466748,1470825,1473956,1474559,1477403,1479620,1480941,1483427,1488390,1489745,1494699,1501460,1523709,	1463835,1466890,1470924,1474110,1474685,1477486,1479675,1480976,1483486,1488451,1489858,1494914,1501603,1523977,
MRPL36	5	-	1798385	1799839	1798385,1799791,	1798947,1799839,
NDUFS6	5	+	1801399	1816605	1801399,1802320,1814338,1815850,	1801549,1802374,1814461,1816605,
IRX4	5	-	1877412	1887236	1877412,1879503,1880724,1881807,1882602,1887061,	1878792,1879832,1880834,1882059,1882747,1887236,
IRX2	5	-	2745844	2751662	2745844,2747540,2748344,2749381,2751164,	2746786,2747616,2749052,2749787,2751662,
C5orf38	5	+	2752147	2755397	2752147,2752621,2753284,2755028,	2752464,2752754,2753355,2755397,
IRX1	5	+	3596053	3601403	3596053,3599224,3600608,3600982,	3596381,3600260,3600681,3601403,
ADAMTS16	5	+	5140329	5320304	5140329,5140663,5146129,5182043,5186051,5187724,5189970,5191684,5200131,5209092,5222788,5232367,5235013,5236968,5239150,5239680,5242052,5262656,5303267,5303571,5306503,5318133,5319022,	5140539,5140766,5146455,5182305,5186251,5187808,5190130,5191790,5200269,5209246,5222884,5232516,5235186,5237099,5239274,5239925,5242191,5262783,5303469,5303766,5306728,5318281,5320304,
ICE1	5	+	5422693	5490234	5422693,5436417,5437079,5439894,5441111,5443167,5444288,5447426,5447720,5447840,5454551,5457331,5460435,5466333,5468827,5473557,5475972,5486720,5489148,	5422999,5436476,5437114,5439913,5441223,5443244,5444326,5447509,5447760,5447897,5454638,5457741,5465226,5466502,5468988,5473748,5476079,5486819,5490234,
MED10	5	-	6371880	6378594	6371880,6374323,6377165,6378361,	6372601,6374426,6377249,6378594,
UBE2QL1	5	+	6448622	6494909	6448622,6491217,	6449247,6494909,
NSUN2	5	-	6599238	6633291	6599238,6602460,6604137,6604604,6605272,6606819,6607199,6609825,6610954,6611724,6616726,6617949,6620105,6622015,6623213,6625563,6631872,6632598,6632883,	6600232,6602500,6604276,6604685,6605408,6606912,6607384,6609922,6611085,6611798,6616857,6618024,6620298,6622100,6623285,6625669,6631977,6632756,6633291,
SRD5A1	5	+	6633342	6674386	6633342,6651841,6656077,6662815,6668201,	6633869,6652008,6656179,6662966,6674386,
PAPD7	5	+	6713006	6757048	6713006,6737509,6738682,6739731,6742489,6743711,6746213,6748463,6749556,6750330,6751038,6752872,6754750,	6714699,6737633,6738729,6739852,6742597,6743840,6746427,6748590,6749657,6750503,6751197,6753037,6757048,
ADCY2	5	+	7396207	7830081	7396207,7414572,7520737,7626166,7690690,7695751,7698246,7706743,7707705,7709210,7712855,7717156,7724544,7727163,7743667,7757448,7766686,7772931,7784364,7789641,7802217,7804584,7816865,7820564,7826718,	7396506,7414770,7520899,7626316,7690839,7695863,7698374,7706902,7707838,7709387,7712899,7717237,7724614,7727261,7743752,7757586,7766806,7773101,7784449,7789800,7802364,7804692,7816980,7820689,7830081,
C5orf49	5	-	7830377	7851490	7830377,7835381,7850874,	7832029,7835498,7851490,
